dataset,question,model,distractor_count,distractor_type,prediction,EM,F1,latency_ms,recall@5,recall@10
squad,what does an isp do?,gpt41mini,1,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,1,topical,"An Internet service provider (ISP) provides services for accessing, using the Internet.",0,0.7368,0,1,1
squad,what does an isp do?,gpt41mini,1,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,1,hard_negative,"An Internet service provider (ISP) is an organization that provides services for accessing, using, the Internet.",0,0.6087,0,1,1
squad,what does an isp do?,gpt41mini,1,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,1,paraphrased_contradiction,An ISP (Internet service provider) provides services for accessing and using the Internet.,0,0.7,0,1,1
squad,what does an isp do?,gpt41mini,3,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,3,topical,"An Internet service provider (ISP) provides services for accessing, using the Internet.",0,0.7368,0,1,1
squad,what does an isp do?,gpt41mini,3,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,3,hard_negative,"An Internet service provider (ISP) is an organization that provides services for accessing, using, the Internet.",0,0.6087,0,1,1
squad,what does an isp do?,gpt41mini,3,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,3,paraphrased_contradiction,An ISP (Internet service provider) provides services for accessing and using the Internet.,0,0.7,0,1,1
squad,what does an isp do?,gpt41mini,5,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,5,topical,"An Internet service provider (ISP) provides services for accessing, using the Internet.",0,0.7368,0,1,1
squad,what does an isp do?,gpt41mini,5,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,5,hard_negative,"An Internet service provider (ISP) is an organization that provides services for accessing, using, the Internet.",0,0.6087,0,1,1
squad,what does an isp do?,gpt41mini,5,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,5,paraphrased_contradiction,An ISP (Internet service provider) provides services for accessing and using the Internet.,0,0.7,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,0,none,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,0,none,Contact information for victims and evacuees.,0,0.5,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,1,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,1,topical,Websites were set up to store contact information for victims and evacuees.,0,0.2857,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,1,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,1,hard_negative,Websites were set up to store contact information for victims and evacuees.,0,0.2857,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,1,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,1,paraphrased_contradiction,Websites were set up to store contact information for victims and evacuees.,0,0.2857,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,3,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,3,topical,Websites were set up to store contact information for victims and evacuees.,0,0.2857,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,3,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,3,hard_negative,Contact information for victims and evacuees.,0,0.5,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,3,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,3,paraphrased_contradiction,Websites were set up to store contact information for victims and evacuees.,0,0.2857,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,5,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,5,topical,Websites were set up to store contact information for victims and evacuees.,0,0.2857,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,5,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,5,hard_negative,Contact information for victims and evacuees.,0,0.5,0,1,1
squad,What kind of information were websites set up to store?,gpt41mini,5,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What kind of information were websites set up to store?,llama31,5,paraphrased_contradiction,Websites were set up to store contact information for victims and evacuees.,0,0.2857,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,0,none,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,0,none,"An infection by cholera is not the cause of dysentery, but rather the presence of blood in diarrhea is referred to as dysentery.  Dysentery is caused by a presence of blood in diarrhea typically due to an infection.",0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,1,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,1,topical,"An infection by cholera is not the cause of dysentery, but rather the presence of blood in diarrhea is referred to as dysentery.  Dysentery is caused by a presence of blood in diarrhea typically due to an infection.",0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,1,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,1,hard_negative,"An infection by a bacteria or a parasite, which may result in short duration bloody diarrhea, also known as dysentery.",0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,1,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,1,paraphrased_contradiction,"According to the context, an infection by dysentery is caused by the presence of blood in the diarrhea, which is often due to an infectious cause. However, it does not directly specify the cause of dysentery. But it does mention that if blood is present in the diarrhea, it is also known as dysentery.",0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,3,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,3,topical,"An infection by cholera is not the cause of dysentery, but rather the presence of blood in diarrhea is referred to as dysentery.  Dysentery is caused by a presence of blood in diarrhea typically due to an infection.",0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,3,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,3,hard_negative,The presence of blood in the diarrhea is also known as dysentery. It is caused by an infection that results in short duration bloody diarrhea.,0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,3,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,3,paraphrased_contradiction,"According to the context, an infection by dysentery is caused by the presence of blood in the diarrhea, which is often due to an infectious cause. However, it does not directly specify the cause of dysentery. But it does mention that if blood is present in the diarrhea, it is also known as dysentery.",0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,5,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,5,topical,"An infection by cholera is not the cause of dysentery, but rather the presence of blood in diarrhea is referred to as dysentery.  Dysentery is caused by a presence of blood in diarrhea typically due to an infection.",0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,5,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,5,hard_negative,"An infection by a virus, bacteria, or parasite, often acquired from contaminated food or water, or directly from another person who is infected, may cause dysentery.",0,0.0,0,1,1
squad,What causes and infection by dysentery?,gpt41mini,5,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What causes and infection by dysentery?,llama31,5,paraphrased_contradiction,"According to the context, an infection by dysentery is caused by the presence of blood in the diarrhea, which is often due to an infectious cause. However, it does not directly specify the cause of dysentery. But it does mention that if blood is present in the diarrhea, it is also known as dysentery.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,0,none,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,0,none,"The question is based on incorrect context. According to the context provided, Philip II of Spain decreed the change from the Julian to the Gregorian calendar, not the reverse. Therefore, the correct answer is:

There is no information about a decree changing the calendar from the Gregorian to the Julian calendar.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,1,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,1,topical,"The question is based on incorrect context. According to the context provided, Philip II of Spain decreed the change from the Julian to the Gregorian calendar, not the reverse. Therefore, the correct answer is:

There is no information about a decree changing the calendar from the Gregorian to the Julian calendar.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,1,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,1,hard_negative,"There is no information in the context that a king decreed the change from the Gregorian to the Julian calendar. In fact, it was the opposite: Philip II of Spain decreed the change from the Julian to the Gregorian calendar.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,1,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,1,paraphrased_contradiction,"There seems to be a contradiction in the given information. The first part mentions Philip II of Spain changing the calendar from Julian to Gregorian, while the second part mentions him changing it from Gregorian to Julian. 

However, if we have to pick one, based on the second part of the information: Philip II of Spain decreed the change from the Gregorian to the Julian calendar.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,3,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,3,topical,"The question is based on incorrect context. According to the context provided, Philip II of Spain decreed the change from the Julian to the Gregorian calendar, not the reverse. Therefore, the correct answer is:

There is no information about a decree changing the calendar from the Gregorian to the Julian calendar.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,3,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,3,hard_negative,"There is no information in the provided context about a King decreeing the change from the Gregorian to the Julian calendar. In fact, the provided context mentions that Philip II of Spain decreed the change from the Julian to the Gregorian calendar.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,3,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,3,paraphrased_contradiction,"There seems to be a contradiction in the given information. The first part mentions Philip II of Spain changing the calendar from Julian to Gregorian, while the second part mentions him changing it from Gregorian to Julian. 

However, if we have to pick one, based on the second part of the information: Philip II of Spain decreed the change from the Gregorian to the Julian calendar.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,5,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,5,topical,"The question is based on incorrect context. According to the context provided, Philip II of Spain decreed the change from the Julian to the Gregorian calendar, not the reverse. Therefore, the correct answer is:

There is no information about a decree changing the calendar from the Gregorian to the Julian calendar.",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,5,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,5,hard_negative,There is no information about a change from the Gregorian to the Julian calendar in the provided context. The information given is about Philip II of Spain decreeing the change from the Julian to the Gregorian calendar.,0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,gpt41mini,5,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What King decreed the change from the Gregorian to the Julian calendar?,llama31,5,paraphrased_contradiction,"There seems to be a contradiction in the given information. The first part mentions Philip II of Spain changing the calendar from Julian to Gregorian, while the second part mentions him changing it from Gregorian to Julian. 

However, if we have to pick one, based on the second part of the information: Philip II of Spain decreed the change from the Gregorian to the Julian calendar.",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,0,none,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,0,none,1.16% of the state population.,0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,1,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,1,topical,1.16% of the state population.,0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,1,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,1,hard_negative,Sikhs mostly live in towns and cities and constitute 1.16% of the state population.,0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,1,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,1,paraphrased_contradiction,The Sikh population of Himachal Pradesh is 1.16% of the state population.,0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,3,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,3,topical,1.16% of the state population.,0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,3,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,3,hard_negative,1.16% of the state population. They mostly live in towns and cities of Himachal Pradesh.,0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,3,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,3,paraphrased_contradiction,The Sikh population of Himachal Pradesh is 1.16% of the state population.,0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,5,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,5,topical,1.16% of the state population.,0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,5,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,5,hard_negative,"According to the given context, the Sikh population of Himachal Pradesh constitutes 1.16% of the state population.",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,gpt41mini,5,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,What is the Sikh population of Himachal Pradesh?,llama31,5,paraphrased_contradiction,The Sikh population of Himachal Pradesh is 1.16% of the state population.,0,0.0,0,1,1
squad,What does successful migration depend on for some waders?,gpt41mini,0,none,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0976,0,1,1
squad,What does successful migration depend on for some waders?,llama31,0,none,The availability of certain key food resources at stopover points along the migration route.,0,0.6667,0,1,1
