dataset,question,ground_truth,prediction,em,f1,latency_ms,model
hotpot,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"The provided context does not mention Cynthia Nixon or any awards she received, including the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series or a Screen Actors Guild Award. Therefore, based on the given information, it is not possible to answer the question.",0,0.0392,4595,gpt41mini
hotpot,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"This answer cannot be determined based on the provided context, as Cynthia Nixon's award is not mentioned anywhere in the text.",0,0.0800,4595,llama31
hotpot,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,"The provided context does not contain information about Lee Jun-fan or ""The Green Hornet"" television series.",0,0.0000,12860,gemini
hotpot,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,"The provided context does not mention Lee Jun-fan or his role in ""The Green Hornet"" television series. Therefore, based on the given information, the answer cannot be determined.",0,0.0000,12860,gpt41mini
hotpot,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,"There is no information in the provided text about Lee Jun-fan playing a character in ""The Green Hornet"" television series.",0,0.0000,12860,llama31
hotpot,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 44.284745368s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '44s'}]}}]",0,0.0000,17681,gemini
hotpot,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England,"Based on the provided context, Everton's Goodison Park football stadium is located in Walton, Liverpool, which is in England.",0,0.1000,17681,gpt41mini
hotpot,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England,There is no information provided to answer this question. The context provided does not mention the 1895/96 Football League season or Everton's stadium.,0,0.0000,17681,llama31
hotpot,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 21.941199807s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '21s'}]}}]",0,0.0000,23180,gemini
hotpot,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,"The Estadio Único is owned by the Argentine government. Therefore, the stadium known as Estadio Único, where Coldplay's A Head Full of Dreams Tour had its first show, is owned by the Argentine government.",0,0.0526,23180,gpt41mini
hotpot,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,"There is no information in the provided context about A Head Full of Dreams Tour, but it is mentioned that the album ""A Head Full of Dreams (2015)"" by Coldplay, had the track ""Hymn for the Weekend"" which featured Beyoncé.

However, there is information about the album, but it does not mention the tour. 

If you would like to know about the stadium, the context does not provide information about a stadium named Estadio Unico or the owner of that stadium.",0,0.0235,23180,llama31
hotpot,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",Robert Zemeckis,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 3.387607185s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '3s'}]}}]",0,0.0000,17427,gemini
hotpot,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",Robert Zemeckis,"Roger Avary wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, which was directed by Robert Zemeckis.",0,0.1667,17427,gpt41mini
hotpot,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",Robert Zemeckis,"Unfortunately, the information about Roger Avary is not provided in the context. However, based on the information provided in the context, the director of the 2007 film ""Beowulf"" is not explicitly mentioned. 

However, according to general knowledge, Robert Zemeckis directed the 2007 film ""Beowulf"".",0,0.0870,17427,llama31
hotpot,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 46.051497989s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '46s'}]}}]",0,0.0000,21491,gemini
hotpot,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,"Based on the provided context, the American Pre-Code comedy film featuring an American actress, dancer, and singer widely known for performing in films and RKO's musical films is ""Kid Millions,"" which was released in 1934. 

(Note: This information is not explicitly stated in the provided context, but since the question refers to an American Pre-Code comedy with an American actress/dancer/singer known for RKO musicals—a category that fits ""Kid Millions"" and others from that era—it aligns with common knowledge surrounding that film. However, the provided context does not mention ""Kid Millions"" directly or the year 1934.)

Since the context does not mention this film or its release year, an exact answer based only on the context cannot be provided.",0,0.0000,21491,gpt41mini
hotpot,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,"However, the text does not directly mention the name of the film or the American actress. But it does mention the American actress, dancer, and singer who was associated with musical theatre, but has also appeared extensively on television, Carol Lawrence.",0,0.0000,21491,llama31
hotpot,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 23.76456023s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '23s'}]}}]",0,0.0000,17977,gemini
hotpot,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,"The provided context does not contain any information about the song ""Just the Two of Us,"" Donna Weiss, Jackie DeShannon, or the number of weeks a song they wrote and composed spent at No. 1 on the Billboard Hot 100 chart. Therefore, based on the provided context, the answer cannot be determined.",0,0.0000,17977,gpt41mini
hotpot,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,There is no information about a song written by Donna Weiss and Jackie DeShannon that spent weeks at No. 1 on the Billboard hot 100 chart in the provided context.,0,0.0000,17977,llama31
